贵阳,20250221,20250224,620,1739242994,KWE
贵阳,20250227,20250302,510,1739242994,KWE
贵阳,20250228,20250303,670,1739242994,KWE
贵阳,20250306,20250309,620,1739242994,KWE
贵阳,20250307,20250310,670,1739242994,KWE
贵阳,20250313,20250316,670,1739242994,KWE
贵阳,20250314,20250317,720,1739242994,KWE
海口,20250214,20250217,740,1739242994,HAK
海口,20250220,20250223,620,1739242994,HAK
海口,20250221,20250224,400,1739242994,HAK
海口,20250227,20250302,670,1739242994,HAK
海口,20250228,20250303,740,1739242994,HAK
海口,20250313,20250316,400,1739242994,HAK
合肥,20250214,20250217,740,1739242994,HFE
合肥,20250220,20250223,710,1739242994,HFE
合肥,20250221,20250224,780,1739242994,HFE
合肥,20250227,20250302,683,1739242994,HFE
合肥,20250228,20250303,717,1739242994,HFE
合肥,20250306,20250309,764,1739242994,HFE
淮安,20250227,20250302,795,1739242994,HIA
淮安,20250228,20250303,785,1739242994,HIA
黄山,20250220,20250223,596,1739242994,TXN
黄山,20250221,20250224,660,1739242994,TXN
黄山,20250227,20250302,646,1739242994,TXN
黄山,20250228,20250303,660,1739242994,TXN
黄山,20250306,20250309,630,1739242994,TXN
黄山,20250307,20250310,629,1739242994,TXN
黄山,20250313,20250316,650,1739242994,TXN
泸州,20250220,20250223,609,1739242994,LZO
泸州,20250221,20250224,659,1739242994,LZO
泸州,20250227,20250302,515,1739242994,LZO
泸州,20250228,20250303,519,1739242994,LZO
泸州,20250306,20250309,642,1739242994,LZO
泸州,20250307,20250310,700,1739242994,LZO
泸州,20250313,20250316,700,1739242994,LZO
南昌,20250220,20250223,760,1739242994,KHN
宁波,20250214,20250217,560,1739242994,NGB
宁波,20250220,20250223,530,1739242994,NGB
宁波,20250221,20250224,530,1739242994,NGB
宁波,20250227,20250302,630,1739242994,NGB
宁波,20250228,20250303,640,1739242994,NGB
宁波,20250306,20250309,740,1739242994,NGB
宁波,20250314,20250317,740,1739242994,NGB
南宁,20250213,20250216,670,1739242994,NNG
南宁,20250214,20250217,720,1739242994,NNG
南宁,20250221,20250224,620,1739242994,NNG
南宁,20250227,20250302,740,1739242994,NNG
南宁,20250228,20250303,740,1739242994,NNG
南宁,20250307,20250310,670,1739242994,NNG
衢州,20250214,20250217,739,1739242994,JUZ
衢州,20250220,20250223,760,1739242994,JUZ
衢州,20250221,20250224,760,1739242994,JUZ
衢州,20250228,20250303,760,1739242994,JUZ
衢州,20250306,20250309,755,1739242994,JUZ
衢州,20250307,20250310,755,1739242994,JUZ
衢州,20250313,20250316,760,1739242994,JUZ
衢州,20250314,20250317,760,1739242994,JUZ
上饶,20250220,20250223,740,1739242994,SQD
上饶,20250221,20250224,740,1739242994,SQD
上饶,20250228,20250303,700,1739242994,SQD
上饶,20250306,20250309,700,1739242994,SQD
上饶,20250307,20250310,700,1739242994,SQD
台州,20250214,20250217,750,1739242994,HYN
台州,20250313,20250316,770,1739242994,HYN
温州,20250214,20250217,670,1739242994,WNZ
温州,20250220,20250223,600,1739242994,WNZ
温州,20250221,20250224,695,1739242994,WNZ
温州,20250227,20250302,700,1739242994,WNZ
温州,20250228,20250303,670,1739242994,WNZ
温州,20250306,20250309,660,1739242994,WNZ
温州,20250307,20250310,680,1739242994,WNZ
温州,20250313,20250316,660,1739242994,WNZ
温州,20250314,20250317,690,1739242994,WNZ
乌海,20250307,20250310,760,1739242994,WUA
无锡,20250213,20250216,690,1739242994,WUX
无锡,20250214,20250217,690,1739242994,WUX
无锡,20250220,20250223,749,1739242994,WUX
无锡,20250227,20250302,770,1739242994,WUX
襄阳,20250306,20250309,780,1739242994,XFN
襄阳,20250307,20250310,780,1739242994,XFN
宜春,20250313,20250316,660,1739242994,YIC
宜春,20250314,20250317,660,1739242994,YIC
上海,20250220,20250223,750,1739327277,SHA
上海,20250221,20250224,630,1739327277,SHA
上海,20250227,20250302,700,1739327277,SHA
上海,20250306,20250309,750,1739327277,SHA
上海,20250313,20250316,770,1739327277,SHA
成都,20250220,20250223,700,1739327277,CTU
成都,20250221,20250224,756,1739327277,CTU
成都,20250227,20250302,740,1739327277,CTU
成都,20250228,20250303,760,1739327277,CTU
杭州,20250214,20250217,690,1739327277,HGH
杭州,20250220,20250223,680,1739327277,HGH
杭州,20250221,20250224,680,1739327277,HGH
杭州,20250227,20250302,680,1739327277,HGH
杭州,20250228,20250303,730,1739327277,HGH
杭州,20250306,20250309,760,1739327277,HGH
杭州,20250307,20250310,720,1739327277,HGH
杭州,20250313,20250316,737,1739327277,HGH
杭州,20250314,20250317,740,1739327277,HGH
武汉,20250213,20250216,659,1739327277,WUH
武汉,20250220,20250223,660,1739327277,WUH
武汉,20250221,20250224,560,1739327277,WUH
武汉,20250227,20250302,740,1739327277,WUH
武汉,20250228,20250303,670,1739327277,WUH
武汉,20250306,20250309,740,1739327277,WUH
武汉,20250307,20250310,650,1739327277,WUH
武汉,20250313,20250316,669,1739327277,WUH
武汉,20250314,20250317,650,1739327277,WUH
西安,20250214,20250217,751,1739327277,SIA
西安,20250220,20250223,632,1739327277,SIA
西安,20250221,20250224,610,1739327277,SIA
西安,20250227,20250302,560,1739327277,SIA
西安,20250228,20250303,560,1739327277,SIA
西安,20250306,20250309,590,1739327277,SIA
西安,20250307,20250310,580,1739327277,SIA
西安,20250313,20250316,700,1739327277,SIA
西安,20250314,20250317,720,1739327277,SIA
重庆,20250220,20250223,660,1739327277,CKG
重庆,20250221,20250224,660,1739327277,CKG
重庆,20250227,20250302,770,1739327277,CKG
重庆,20250228,20250303,785,1739327277,CKG
重庆,20250306,20250309,740,1739327277,CKG
重庆,20250307,20250310,750,1739327277,CKG
重庆,20250313,20250316,785,1739327277,CKG
南京,20250220,20250223,760,1739327277,NKG
南京,20250221,20250224,700,1739327277,NKG
南京,20250227,20250302,710,1739327277,NKG
南京,20250228,20250303,730,1739327277,NKG
南京,20250306,20250309,747,1739327277,NKG
南京,20250307,20250310,735,1739327277,NKG
昆明,20250220,20250223,700,1739327277,KMG
昆明,20250221,20250224,730,1739327277,KMG
昆明,20250227,20250302,650,1739327277,KMG
昆明,20250228,20250303,630,1739327277,KMG
昆明,20250306,20250309,700,1739327277,KMG
昆明,20250307,20250310,690,1739327277,KMG
昆明,20250313,20250316,740,1739327277,KMG
昆明,20250314,20250317,790,1739327277,KMG
郑州,20250221,20250224,780,1739327277,CGO
郑州,20250227,20250302,725,1739327277,CGO
郑州,20250228,20250303,780,1739327277,CGO
济南,20250213,20250216,740,1739327277,TNA
济南,20250214,20250217,680,1739327277,TNA
济南,20250220,20250223,580,1739327277,TNA
济南,20250221,20250224,600,1739327277,TNA
济南,20250227,20250302,650,1739327277,TNA
济南,20250228,20250303,600,1739327277,TNA
济南,20250306,20250309,650,1739327277,TNA
济南,20250307,20250310,600,1739327277,TNA
济南,20250313,20250316,700,1739327277,TNA
济南,20250314,20250317,700,1739327277,TNA
福州,20250227,20250302,677,1739327277,FOC
福州,20250228,20250303,676,1739327277,FOC
福州,20250306,20250309,677,1739327277,FOC
福州,20250313,20250316,680,1739327277,FOC
福州,20250314,20250317,680,1739327277,FOC
常州,20250213,20250216,640,1739327277,CZX
常州,20250221,20250224,751,1739327277,CZX
常州,20250227,20250302,674,1739327277,CZX
常州,20250228,20250303,674,1739327277,CZX
常州,20250306,20250309,677,1739327277,CZX
常州,20250313,20250316,699,1739327277,CZX
常州,20250314,20250317,699,1739327277,CZX
池州,20250221,20250224,790,1739327277,JUH
东营,20250220,20250223,700,1739327277,DOY
东营,20250227,20250302,520,1739327277,DOY
东营,20250228,20250303,670,1739327277,DOY
东营,20250306,20250309,620,1739327277,DOY
东营,20250307,20250310,720,1739327277,DOY
东营,20250313,20250316,620,1739327277,DOY
东营,20250314,20250317,620,1739327277,DOY
贵阳,20250213,20250216,690,1739327277,KWE
贵阳,20250220,20250223,580,1739327277,KWE
贵阳,20250221,20250224,710,1739327277,KWE
贵阳,20250227,20250302,510,1739327277,KWE
贵阳,20250228,20250303,610,1739327277,KWE
贵阳,20250306,20250309,620,1739327277,KWE
贵阳,20250307,20250310,670,1739327277,KWE
贵阳,20250313,20250316,670,1739327277,KWE
贵阳,20250314,20250317,720,1739327277,KWE
海口,20250220,20250223,660,1739327277,HAK
海口,20250221,20250224,400,1739327277,HAK
海口,20250227,20250302,723,1739327277,HAK
合肥,20250220,20250223,772,1739327277,HFE
合肥,20250221,20250224,774,1739327277,HFE
黄山,20250220,20250223,604,1739327277,TXN
黄山,20250221,20250224,718,1739327277,TXN
黄山,20250227,20250302,644,1739327277,TXN
黄山,20250228,20250303,644,1739327277,TXN
黄山,20250306,20250309,635,1739327277,TXN
黄山,20250307,20250310,640,1739327277,TXN
黄山,20250313,20250316,640,1739327277,TXN
泸州,20250220,20250223,604,1739327277,LZO
泸州,20250221,20250224,640,1739327277,LZO
泸州,20250227,20250302,520,1739327277,LZO
泸州,20250228,20250303,480,1739327277,LZO
泸州,20250306,20250309,640,1739327277,LZO
泸州,20250307,20250310,640,1739327277,LZO
泸州,20250313,20250316,660,1739327277,LZO
泸州,20250314,20250317,799,1739327277,LZO
南昌,20250220,20250223,750,1739327277,KHN
宁波,20250221,20250224,570,1739327277,NGB
宁波,20250227,20250302,730,1739327277,NGB
宁波,20250228,20250303,640,1739327277,NGB
宁波,20250306,20250309,740,1739327277,NGB
宁波,20250307,20250310,740,1739327277,NGB
宁波,20250314,20250317,740,1739327277,NGB
南宁,20250214,20250217,720,1739327277,NNG
南宁,20250220,20250223,778,1739327277,NNG
南宁,20250221,20250224,670,1739327277,NNG
南宁,20250227,20250302,724,1739327277,NNG
南宁,20250228,20250303,724,1739327277,NNG
南宁,20250306,20250309,790,1739327277,NNG
南宁,20250307,20250310,670,1739327277,NNG
衢州,20250220,20250223,760,1739327277,JUZ
衢州,20250221,20250224,760,1739327277,JUZ
衢州,20250227,20250302,760,1739327277,JUZ
衢州,20250228,20250303,750,1739327277,JUZ
衢州,20250306,20250309,760,1739327277,JUZ
衢州,20250307,20250310,760,1739327277,JUZ
衢州,20250313,20250316,760,1739327277,JUZ
上饶,20250220,20250223,740,1739327277,SQD
上饶,20250221,20250224,740,1739327277,SQD
上饶,20250227,20250302,700,1739327277,SQD
上饶,20250228,20250303,700,1739327277,SQD
上饶,20250306,20250309,700,1739327277,SQD
上饶,20250307,20250310,700,1739327277,SQD
上饶,20250313,20250316,700,1739327277,SQD
台州,20250214,20250217,750,1739327277,HYN
台州,20250306,20250309,787,1739327277,HYN
台州,20250313,20250316,770,1739327277,HYN
温州,20250220,20250223,600,1739327277,WNZ
温州,20250221,20250224,635,1739327277,WNZ
温州,20250227,20250302,695,1739327277,WNZ
温州,20250228,20250303,670,1739327277,WNZ
温州,20250306,20250309,659,1739327277,WNZ
温州,20250307,20250310,659,1739327277,WNZ
温州,20250313,20250316,660,1739327277,WNZ
温州,20250314,20250317,690,1739327277,WNZ
乌海,20250221,20250224,710,1739327277,WUA
乌海,20250228,20250303,730,1739327277,WUA
乌海,20250307,20250310,710,1739327277,WUA
无锡,20250220,20250223,753,1739327277,WUX
无锡,20250227,20250302,720,1739327277,WUX
襄阳,20250306,20250309,780,1739327277,XFN
襄阳,20250307,20250310,780,1739327277,XFN
襄阳,20250314,20250317,780,1739327277,XFN
宜春,20250313,20250316,660,1739327277,YIC
宜春,20250314,20250317,660,1739327277,YIC
上海,20250220,20250223,750,1739415526,SHA
上海,20250227,20250302,750,1739415526,SHA
上海,20250306,20250309,750,1739415526,SHA
上海,20250313,20250316,770,1739415526,SHA
成都,20250220,20250223,680,1739415526,CTU
成都,20250221,20250224,680,1739415526,CTU
成都,20250227,20250302,680,1739415526,CTU
成都,20250228,20250303,680,1739415526,CTU
杭州,20250221,20250224,660,1739415526,HGH
杭州,20250227,20250302,680,1739415526,HGH
杭州,20250228,20250303,730,1739415526,HGH
杭州,20250306,20250309,745,1739415526,HGH
杭州,20250307,20250310,700,1739415526,HGH
杭州,20250313,20250316,740,1739415526,HGH
杭州,20250314,20250317,770,1739415526,HGH
杭州,20250320,20250323,770,1739415526,HGH
武汉,20250214,20250217,799,1739415526,WUH
武汉,20250220,20250223,660,1739415526,WUH
武汉,20250221,20250224,580,1739415526,WUH
武汉,20250227,20250302,740,1739415526,WUH
武汉,20250228,20250303,670,1739415526,WUH
武汉,20250306,20250309,790,1739415526,WUH
武汉,20250307,20250310,730,1739415526,WUH
武汉,20250313,20250316,669,1739415526,WUH
武汉,20250314,20250317,700,1739415526,WUH
武汉,20250320,20250323,669,1739415526,WUH
西安,20250220,20250223,560,1739415526,SIA
西安,20250221,20250224,630,1739415526,SIA
西安,20250227,20250302,560,1739415526,SIA
西安,20250228,20250303,580,1739415526,SIA
西安,20250306,20250309,590,1739415526,SIA
西安,20250307,20250310,590,1739415526,SIA
西安,20250313,20250316,700,1739415526,SIA
西安,20250314,20250317,720,1739415526,SIA
西安,20250320,20250323,700,1739415526,SIA
重庆,20250220,20250223,650,1739415526,CKG
重庆,20250221,20250224,710,1739415526,CKG
重庆,20250227,20250302,735,1739415526,CKG
重庆,20250228,20250303,770,1739415526,CKG
重庆,20250306,20250309,775,1739415526,CKG
重庆,20250313,20250316,785,1739415526,CKG
南京,20250220,20250223,700,1739415526,NKG
南京,20250221,20250224,750,1739415526,NKG
南京,20250227,20250302,700,1739415526,NKG
南京,20250228,20250303,700,1739415526,NKG
南京,20250306,20250309,784,1739415526,NKG
南京,20250307,20250310,650,1739415526,NKG
昆明,20250220,20250223,700,1739415526,KMG
昆明,20250221,20250224,740,1739415526,KMG
昆明,20250227,20250302,620,1739415526,KMG
昆明,20250228,20250303,630,1739415526,KMG
昆明,20250306,20250309,720,1739415526,KMG
昆明,20250307,20250310,690,1739415526,KMG
昆明,20250313,20250316,720,1739415526,KMG
昆明,20250314,20250317,720,1739415526,KMG
昆明,20250320,20250323,790,1739415526,KMG
郑州,20250220,20250223,770,1739415526,CGO
郑州,20250221,20250224,790,1739415526,CGO
郑州,20250227,20250302,746,1739415526,CGO
郑州,20250228,20250303,776,1739415526,CGO
郑州,20250306,20250309,798,1739415526,CGO
济南,20250214,20250217,700,1739415526,TNA
济南,20250220,20250223,580,1739415526,TNA
济南,20250221,20250224,580,1739415526,TNA
济南,20250227,20250302,630,1739415526,TNA
济南,20250228,20250303,600,1739415526,TNA
济南,20250306,20250309,650,1739415526,TNA
济南,20250307,20250310,600,1739415526,TNA
济南,20250313,20250316,700,1739415526,TNA
济南,20250314,20250317,700,1739415526,TNA
济南,20250320,20250323,750,1739415526,TNA
福州,20250227,20250302,672,1739415526,FOC
福州,20250228,20250303,675,1739415526,FOC
福州,20250306,20250309,677,1739415526,FOC
福州,20250313,20250316,680,1739415526,FOC
福州,20250314,20250317,680,1739415526,FOC
福州,20250320,20250323,680,1739415526,FOC
常州,20250220,20250223,612,1739415526,CZX
常州,20250221,20250224,751,1739415526,CZX
常州,20250227,20250302,679,1739415526,CZX
常州,20250306,20250309,677,1739415526,CZX
常州,20250307,20250310,648,1739415526,CZX
常州,20250313,20250316,699,1739415526,CZX
常州,20250314,20250317,648,1739415526,CZX
常州,20250320,20250323,699,1739415526,CZX
池州,20250221,20250224,790,1739415526,JUH
东营,20250220,20250223,700,1739415526,DOY
东营,20250221,20250224,600,1739415526,DOY
东营,20250227,20250302,520,1739415526,DOY
东营,20250228,20250303,570,1739415526,DOY
东营,20250306,20250309,720,1739415526,DOY
东营,20250307,20250310,720,1739415526,DOY
东营,20250313,20250316,620,1739415526,DOY
东营,20250314,20250317,620,1739415526,DOY
东营,20250320,20250323,720,1739415526,DOY
贵阳,20250220,20250223,510,1739415526,KWE
贵阳,20250221,20250224,739,1739415526,KWE
贵阳,20250227,20250302,510,1739415526,KWE
贵阳,20250228,20250303,670,1739415526,KWE
贵阳,20250306,20250309,620,1739415526,KWE
贵阳,20250307,20250310,600,1739415526,KWE
贵阳,20250313,20250316,670,1739415526,KWE
贵阳,20250314,20250317,720,1739415526,KWE
贵阳,20250320,20250323,750,1739415526,KWE
海口,20250220,20250223,680,1739415526,HAK
海口,20250221,20250224,650,1739415526,HAK
海口,20250227,20250302,680,1739415526,HAK
海口,20250228,20250303,650,1739415526,HAK
海口,20250306,20250309,700,1739415526,HAK
海口,20250307,20250310,650,1739415526,HAK
海口,20250313,20250316,790,1739415526,HAK
合肥,20250213,20250216,780,1739415526,HFE
合肥,20250214,20250217,650,1739415526,HFE
合肥,20250220,20250223,650,1739415526,HFE
黄山,20250220,20250223,599,1739415526,TXN
黄山,20250221,20250224,713,1739415526,TXN
黄山,20250227,20250302,639,1739415526,TXN
黄山,20250228,20250303,644,1739415526,TXN
黄山,20250306,20250309,640,1739415526,TXN
黄山,20250307,20250310,640,1739415526,TXN
黄山,20250314,20250317,640,1739415526,TXN
黄山,20250320,20250323,649,1739415526,TXN
泸州,20250220,20250223,680,1739415526,LZO
泸州,20250221,20250224,560,1739415526,LZO
泸州,20250227,20250302,515,1739415526,LZO
泸州,20250228,20250303,480,1739415526,LZO
泸州,20250306,20250309,640,1739415526,LZO
泸州,20250307,20250310,640,1739415526,LZO
泸州,20250313,20250316,650,1739415526,LZO
泸州,20250314,20250317,684,1739415526,LZO
泸州,20250320,20250323,689,1739415526,LZO
南昌,20250220,20250223,760,1739415526,KHN
宁波,20250220,20250223,590,1739415526,NGB
宁波,20250221,20250224,590,1739415526,NGB
宁波,20250227,20250302,680,1739415526,NGB
宁波,20250228,20250303,640,1739415526,NGB
宁波,20250306,20250309,770,1739415526,NGB
宁波,20250314,20250317,740,1739415526,NGB
南宁,20250221,20250224,620,1739415526,NNG
南宁,20250227,20250302,740,1739415526,NNG
南宁,20250228,20250303,740,1739415526,NNG
南宁,20250306,20250309,720,1739415526,NNG
南宁,20250307,20250310,670,1739415526,NNG
衢州,20250220,20250223,750,1739415526,JUZ
衢州,20250221,20250224,750,1739415526,JUZ
衢州,20250227,20250302,755,1739415526,JUZ
衢州,20250228,20250303,760,1739415526,JUZ
衢州,20250306,20250309,760,1739415526,JUZ
衢州,20250307,20250310,760,1739415526,JUZ
衢州,20250313,20250316,760,1739415526,JUZ
衢州,20250314,20250317,760,1739415526,JUZ
衢州,20250320,20250323,760,1739415526,JUZ
上饶,20250220,20250223,740,1739415526,SQD
上饶,20250221,20250224,740,1739415526,SQD
上饶,20250227,20250302,700,1739415526,SQD
上饶,20250228,20250303,700,1739415526,SQD
上饶,20250306,20250309,700,1739415526,SQD
上饶,20250307,20250310,700,1739415526,SQD
上饶,20250313,20250316,700,1739415526,SQD
台州,20250313,20250316,770,1739415526,HYN
台州,20250320,20250323,750,1739415526,HYN
温州,20250220,20250223,560,1739415526,WNZ
温州,20250221,20250224,610,1739415526,WNZ
温州,20250227,20250302,679,1739415526,WNZ
温州,20250228,20250303,648,1739415526,WNZ
温州,20250306,20250309,664,1739415526,WNZ
温州,20250307,20250310,664,1739415526,WNZ
温州,20250313,20250316,670,1739415526,WNZ
乌海,20250227,20250302,770,1739415526,WUA
乌海,20250228,20250303,740,1739415526,WUA
乌海,20250307,20250310,760,1739415526,WUA
无锡,20250220,20250223,752,1739415526,WUX
襄阳,20250306,20250309,780,1739415526,XFN
襄阳,20250307,20250310,780,1739415526,XFN
襄阳,20250320,20250323,780,1739415526,XFN
宜宾,20250320,20250323,700,1739415526,YBP
宜春,20250307,20250310,660,1739415526,YIC
宜春,20250313,20250316,660,1739415526,YIC
宜春,20250314,20250317,660,1739415526,YIC
上海,20250220,20250223,720,1739498752,SHA
上海,20250221,20250224,700,1739498752,SHA
上海,20250227,20250302,750,1739498752,SHA
上海,20250306,20250309,750,1739498752,SHA
上海,20250313,20250316,770,1739498752,SHA
成都,20250221,20250224,680,1739498752,CTU
成都,20250227,20250302,680,1739498752,CTU
成都,20250228,20250303,680,1739498752,CTU
杭州,20250220,20250223,669,1739498752,HGH
杭州,20250221,20250224,660,1739498752,HGH
杭州,20250227,20250302,680,1739498752,HGH
杭州,20250228,20250303,723,1739498752,HGH
杭州,20250306,20250309,696,1739498752,HGH
杭州,20250307,20250310,700,1739498752,HGH
杭州,20250313,20250316,737,1739498752,HGH
杭州,20250314,20250317,739,1739498752,HGH
杭州,20250320,20250323,770,1739498752,HGH
武汉,20250220,20250223,660,1739498752,WUH
武汉,20250221,20250224,590,1739498752,WUH
武汉,20250227,20250302,740,1739498752,WUH
武汉,20250228,20250303,670,1739498752,WUH
武汉,20250306,20250309,720,1739498752,WUH
武汉,20250307,20250310,720,1739498752,WUH
武汉,20250313,20250316,670,1739498752,WUH
武汉,20250314,20250317,719,1739498752,WUH
武汉,20250320,20250323,669,1739498752,WUH
武汉,20250321,20250324,719,1739498752,WUH
西安,20250220,20250223,640,1739498752,SIA
西安,20250221,20250224,630,1739498752,SIA
西安,20250227,20250302,610,1739498752,SIA
西安,20250228,20250303,580,1739498752,SIA
西安,20250306,20250309,590,1739498752,SIA
西安,20250307,20250310,580,1739498752,SIA
西安,20250313,20250316,700,1739498752,SIA
西安,20250314,20250317,720,1739498752,SIA
西安,20250320,20250323,700,1739498752,SIA
西安,20250321,20250324,740,1739498752,SIA
重庆,20250220,20250223,690,1739498752,CKG
重庆,20250221,20250224,720,1739498752,CKG
重庆,20250227,20250302,735,1739498752,CKG
重庆,20250228,20250303,785,1739498752,CKG
重庆,20250306,20250309,740,1739498752,CKG
重庆,20250307,20250310,750,1739498752,CKG
重庆,20250313,20250316,785,1739498752,CKG
南京,20250220,20250223,700,1739498752,NKG
南京,20250221,20250224,780,1739498752,NKG
南京,20250227,20250302,700,1739498752,NKG
南京,20250228,20250303,700,1739498752,NKG
南京,20250306,20250309,700,1739498752,NKG
南京,20250307,20250310,700,1739498752,NKG
昆明,20250227,20250302,620,1739498752,KMG
昆明,20250228,20250303,650,1739498752,KMG
昆明,20250307,20250310,690,1739498752,KMG
昆明,20250313,20250316,720,1739498752,KMG
昆明,20250314,20250317,740,1739498752,KMG
昆明,20250320,20250323,790,1739498752,KMG
郑州,20250227,20250302,720,1739498752,CGO
郑州,20250228,20250303,790,1739498752,CGO
郑州,20250306,20250309,798,1739498752,CGO
济南,20250220,20250223,600,1739498752,TNA
济南,20250227,20250302,630,1739498752,TNA
济南,20250228,20250303,600,1739498752,TNA
济南,20250306,20250309,650,1739498752,TNA
济南,20250307,20250310,600,1739498752,TNA
济南,20250313,20250316,700,1739498752,TNA
济南,20250314,20250317,700,1739498752,TNA
济南,20250320,20250323,720,1739498752,TNA
济南,20250321,20250324,670,1739498752,TNA
福州,20250227,20250302,676,1739498752,FOC
福州,20250228,20250303,678,1739498752,FOC
福州,20250306,20250309,677,1739498752,FOC
福州,20250313,20250316,677,1739498752,FOC
福州,20250314,20250317,680,1739498752,FOC
福州,20250320,20250323,677,1739498752,FOC
福州,20250321,20250324,677,1739498752,FOC
常州,20250220,20250223,612,1739498752,CZX
常州,20250221,20250224,790,1739498752,CZX
常州,20250227,20250302,679,1739498752,CZX
常州,20250306,20250309,679,1739498752,CZX
常州,20250307,20250310,700,1739498752,CZX
常州,20250313,20250316,699,1739498752,CZX
常州,20250314,20250317,648,1739498752,CZX
池州,20250221,20250224,790,1739498752,JUH
池州,20250307,20250310,700,1739498752,JUH
池州,20250314,20250317,700,1739498752,JUH
东营,20250220,20250223,700,1739498752,DOY
东营,20250221,20250224,750,1739498752,DOY
东营,20250227,20250302,620,1739498752,DOY
东营,20250228,20250303,520,1739498752,DOY
东营,20250306,20250309,620,1739498752,DOY
东营,20250307,20250310,520,1739498752,DOY
东营,20250313,20250316,720,1739498752,DOY
东营,20250314,20250317,620,1739498752,DOY
东营,20250320,20250323,720,1739498752,DOY
东营,20250321,20250324,620,1739498752,DOY
贵阳,20250220,20250223,470,1739498752,KWE
贵阳,20250221,20250224,739,1739498752,KWE
贵阳,20250227,20250302,510,1739498752,KWE
贵阳,20250228,20250303,670,1739498752,KWE
贵阳,20250306,20250309,620,1739498752,KWE
贵阳,20250307,20250310,600,1739498752,KWE
贵阳,20250313,20250316,670,1739498752,KWE
贵阳,20250314,20250317,720,1739498752,KWE
贵阳,20250320,20250323,750,1739498752,KWE
海口,20250220,20250223,740,1739498752,HAK
海口,20250221,20250224,710,1739498752,HAK
海口,20250227,20250302,675,1739498752,HAK
海口,20250228,20250303,655,1739498752,HAK
海口,20250306,20250309,660,1739498752,HAK
海口,20250307,20250310,630,1739498752,HAK
海口,20250313,20250316,785,1739498752,HAK
海口,20250314,20250317,790,1739498752,HAK
海口,20250320,20250323,785,1739498752,HAK
海口,20250321,20250324,765,1739498752,HAK
合肥,20250220,20250223,650,1739498752,HFE
合肥,20250221,20250224,759,1739498752,HFE
黄山,20250220,20250223,604,1739498752,TXN
黄山,20250221,20250224,782,1739498752,TXN
黄山,20250227,20250302,639,1739498752,TXN
黄山,20250228,20250303,709,1739498752,TXN
黄山,20250306,20250309,640,1739498752,TXN
黄山,20250307,20250310,640,1739498752,TXN
黄山,20250313,20250316,640,1739498752,TXN
黄山,20250314,20250317,640,1739498752,TXN
黄山,20250320,20250323,649,1739498752,TXN
泸州,20250220,20250223,779,1739498752,LZO
泸州,20250221,20250224,560,1739498752,LZO
泸州,20250227,20250302,604,1739498752,LZO
泸州,20250228,20250303,480,1739498752,LZO
泸州,20250306,20250309,635,1739498752,LZO
泸州,20250307,20250310,640,1739498752,LZO
泸州,20250313,20250316,644,1739498752,LZO
泸州,20250314,20250317,690,1739498752,LZO
泸州,20250320,20250323,690,1739498752,LZO
泸州,20250321,20250324,790,1739498752,LZO
南昌,20250220,20250223,760,1739498752,KHN
宁波,20250220,20250223,630,1739498752,NGB
宁波,20250221,20250224,550,1739498752,NGB
宁波,20250227,20250302,750,1739498752,NGB
宁波,20250228,20250303,640,1739498752,NGB
宁波,20250306,20250309,770,1739498752,NGB
宁波,20250307,20250310,740,1739498752,NGB
宁波,20250314,20250317,740,1739498752,NGB
宁波,20250321,20250324,790,1739498752,NGB
南宁,20250221,20250224,670,1739498752,NNG
南宁,20250227,20250302,670,1739498752,NNG
南宁,20250228,20250303,740,1739498752,NNG
南宁,20250306,20250309,720,1739498752,NNG
南宁,20250307,20250310,670,1739498752,NNG
衢州,20250220,20250223,760,1739498752,JUZ
衢州,20250221,20250224,760,1739498752,JUZ
衢州,20250227,20250302,760,1739498752,JUZ
衢州,20250228,20250303,760,1739498752,JUZ
衢州,20250306,20250309,760,1739498752,JUZ
衢州,20250307,20250310,760,1739498752,JUZ
衢州,20250313,20250316,760,1739498752,JUZ
衢州,20250314,20250317,760,1739498752,JUZ
衢州,20250320,20250323,760,1739498752,JUZ
衢州,20250321,20250324,760,1739498752,JUZ
上饶,20250220,20250223,740,1739498752,SQD
上饶,20250221,20250224,740,1739498752,SQD
上饶,20250227,20250302,700,1739498752,SQD
上饶,20250228,20250303,700,1739498752,SQD
上饶,20250306,20250309,700,1739498752,SQD
上饶,20250307,20250310,700,1739498752,SQD
上饶,20250313,20250316,700,1739498752,SQD
台州,20250313,20250316,770,1739498752,HYN
温州,20250221,20250224,610,1739498752,WNZ
温州,20250227,20250302,700,1739498752,WNZ
温州,20250228,20250303,648,1739498752,WNZ
温州,20250306,20250309,660,1739498752,WNZ
温州,20250307,20250310,680,1739498752,WNZ
温州,20250313,20250316,660,1739498752,WNZ
温州,20250314,20250317,690,1739498752,WNZ
温州,20250320,20250323,750,1739498752,WNZ
乌海,20250227,20250302,770,1739498752,WUA
乌海,20250228,20250303,700,1739498752,WUA
乌海,20250307,20250310,780,1739498752,WUA
无锡,20250220,20250223,749,1739498752,WUX
襄阳,20250228,20250303,780,1739498752,XFN
襄阳,20250306,20250309,780,1739498752,XFN
襄阳,20250307,20250310,780,1739498752,XFN
襄阳,20250320,20250323,780,1739498752,XFN
宜宾,20250320,20250323,700,1739498752,YBP
宜春,20250307,20250310,660,1739498752,YIC
